STU_ID,X2SEX,X2RACE,X2SESQ5,X2TXMQUINT,X2MTHID,X2MTHUTI,X2MTHEFF,X2MTHINT_R
10001,1,8,5,5,0.16,1.21,1.73,-0.21
10002,2,8,2,4,-0.42,-0.5,-0.7,-0.6
10003,2,3,5,4,-1.54,-0.9,-0.56,-1.39
10004,2,8,2,-8,-8,-8,-8,-8
10005,1,8,5,3,-9,-9,-9,-9
10006,2,8,4,4,1.82,-9,0.32,-7
10007,2,8,4,2,0.12,0.38,-1.09,-0.47
10008,1,8,4,5,0.7,1.21,0.32,-7
10009,1,8,4,5,0.7,-0.5,0.32,-1.25
10010,2,8,4,5,0.16,-0.5,1.73,1.77
10011,1,8,5,2,0.12,-1.41,0.32,0.06
10012,2,8,5,5,-0.37,-1.17,-1.09,-0.6
10013,1,8,5,5,0.12,0.8,-0.96,-0.59
10014,2,3,-8,-8,-8,-8,-8,-8
10015,2,8,5,4,0.7,1.21,0.11,-7
10016,2,8,4,5,0.16,0.13,-0.7,-9
10018,1,8,5,5,0.16,-0.5,0.11,-0.6
10019,1,5,2,4,0.12,1.21,1.73,1.1
10020,1,8,4,4,-0.42,-0.5,-1.3,-1.64
10021,1,8,4,5,0.7,1.21,0.32,1.38
10022,1,2,5,3,0.16,-1.58,0.53,-0.6
10024,1,8,4,4,-0.42,-2,-0.7,-0.6
10025,1,8,3,2,0.7,-0.5,0.32,-7
10026,2,2,2,5,-0.42,0.8,-0.35,0.96
10027,2,8,4,2,0.12,1.21,0.32,0.21
10028,1,8,5,1,-1.54,-2.22,-2.5,-1.89
10029,1,8,-8,-8,-8,-8,-8,-8
10030,2,8,5,5,-0.96,0.13,-0.91,-1.64
10031,2,3,3,1,0.7,-0.09,-0.79,-0.19
10033,2,6,1,-8,-8,-8,-8,-8
10034,2,5,1,1,-1.54,-0.5,-1.3,-7
10035,1,3,2,2,0.7,-0.5,0.11,-1.64
10036,2,8,4,4,-0.42,0.8,0.11,-0.6
10037,2,8,4,4,0.7,-0.5,0.67,-7
10038,1,2,5,3,0.16,0.8,-0.35,-7
10039,2,2,4,1,1.82,1.21,0.32,0.48
10040,1,8,4,-8,-8,-8,-8,-8
10041,2,8,3,2,0.7,-0.5,-0.88,-7
10042,1,8,-8,-8,-8,-8,-8,-8
10043,2,8,2,2,-0.96,-0.5,-9,-7
10044,1,8,5,5,0.7,-0.5,-0.53,-0.2
10045,2,8,2,1,0.12,0.8,0.32,-7
10046,2,8,1,3,-0.42,-0.5,-1.09,-0.6
10047,1,8,2,4,0.7,1.21,0.32,-0.2
10048,2,8,4,4,-0.42,-0.5,0.11,-0.85
10049,2,5,4,5,1.82,1.21,0.32,1.38
10050,2,8,1,2,0.7,1.21,1.73,1.75
10052,2,8,4,1,-0.46,1.21,-0.03,0.73
10053,1,8,-8,-8,-8,-8,-8,-8
10054,2,6,1,3,-0.42,-0.5,0.11,-0.6
10055,1,2,5,5,0.7,1.21,0.32,0.96
10056,2,8,2,3,-0.42,0.8,0.67,-0.2
10057,2,8,5,5,-9,-0.5,-0.53,-1.25
10058,2,2,5,2,-1.54,1.21,-2.11,-1.89
10059,1,8,5,4,1.82,-0.5,1.38,-7
10060,1,5,3,4,0.7,0.8,0.91,0.96
10061,1,2,-8,-8,-8,-8,-8,-8
10062,1,6,1,4,-0.42,-0.5,-0.7,-0.6
10063,1,5,2,1,-1.54,-0.5,-0.15,0.19
10064,2,8,3,4,0.16,-0.09,-0.7,-7
10065,2,8,2,3,-1.54,-9,-2.15,-1.89
10066,1,8,3,3,-1.54,-0.5,-0.35,-1.25
10067,1,2,2,5,1.24,1.21,0.32,0.98
10068,2,8,2,2,-0.42,-0.92,-1.09,-0.6
10069,1,2,5,5,1.82,-0.92,-0.15,1.38
10070,1,8,5,5,-0.42,0.38,-0.15,-0.2
10071,2,8,4,3,-0.42,-0.5,-1.09,-0.85
10072,2,8,2,1,-1.54,-0.5,-1.09,-1.24
10074,2,6,3,1,-9,-0.5,-1.09,-9
10075,2,8,3,3,-1.54,-1.58,-2.5,-1.89
10076,1,8,1,1,0.7,-0.5,-0.35,-7
10077,2,8,2,4,0.7,1.21,-0.62,-9
10078,1,3,5,5,0.7,0.13,-0.74,-0.99
10079,2,6,4,4,1.28,0.8,-0.88,-1.25
10080,2,3,3,2,0.21,1.21,-9,-9
10081,2,8,4,2,-1.54,0.38,-0.44,-0.34
