,STU_ID,X2SEX,X2RACE,X2SESQ5,X2TXMQUINT,X2MTHID,X2MTHUTI,X2MTHEFF,X2MTHINT_R
0,10001,1,8,5,5,0.16,1.21,1.73,-0.21
1,10002,2,8,2,4,-0.42,-0.5,-0.7,-0.6
2,10003,2,3,5,4,-1.54,-0.9,-0.56,-1.39
3,10007,2,8,4,2,0.12,0.38,-1.09,-0.47
4,10009,1,8,4,5,0.7,-0.5,0.32,-1.25
5,10010,2,8,4,5,0.16,-0.5,1.73,1.77
6,10011,1,8,5,2,0.12,-1.41,0.32,0.06
7,10012,2,8,5,5,-0.37,-1.17,-1.09,-0.6
8,10013,1,8,5,5,0.12,0.8,-0.96,-0.59
9,10018,1,8,5,5,0.16,-0.5,0.11,-0.6
10,10019,1,5,2,4,0.12,1.21,1.73,1.1
11,10020,1,8,4,4,-0.42,-0.5,-1.3,-1.64
12,10021,1,8,4,5,0.7,1.21,0.32,1.38
13,10022,1,2,5,3,0.16,-1.58,0.53,-0.6
14,10024,1,8,4,4,-0.42,-2.0,-0.7,-0.6
15,10026,2,2,2,5,-0.42,0.8,-0.35,0.96
16,10027,2,8,4,2,0.12,1.21,0.32,0.21
17,10028,1,8,5,1,-1.54,-2.22,-2.5,-1.89
18,10030,2,8,5,5,-0.96,0.13,-0.91,-1.64
19,10031,2,3,3,1,0.7,-0.09,-0.79,-0.19
20,10035,1,3,2,2,0.7,-0.5,0.11,-1.64
21,10036,2,8,4,4,-0.42,0.8,0.11,-0.6
22,10039,2,2,4,1,1.82,1.21,0.32,0.48
23,10044,1,8,5,5,0.7,-0.5,-0.53,-0.2
24,10046,2,8,1,3,-0.42,-0.5,-1.09,-0.6
25,10047,1,8,2,4,0.7,1.21,0.32,-0.2
26,10048,2,8,4,4,-0.42,-0.5,0.11,-0.85
27,10049,2,5,4,5,1.82,1.21,0.32,1.38
28,10050,2,8,1,2,0.7,1.21,1.73,1.75
29,10052,2,8,4,1,-0.46,1.21,-0.03,0.73
